"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Day of Month"	"Day of Month Code"	Avg Daily Max Air Temperature (C)
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"4"	"4"	27.82
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"5"	"5"	30.59
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"6"	"6"	30.71
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"7"	"7"	31.11
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"8"	"8"	31.15
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"9"	"9"	28.12
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"10"	"10"	28.93
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"11"	"11"	29.54
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"12"	"12"	31.16
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"13"	"13"	30.04
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"14"	"14"	30.77
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"15"	"15"	31.12
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"16"	"16"	30.49
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"17"	"17"	29.24
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"18"	"18"	28.86
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"19"	"19"	26.86
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"20"	"20"	28.65
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"21"	"21"	29.83
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"22"	"22"	28.21
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"23"	"23"	27.66
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"24"	"24"	28.89
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"25"	"25"	29.26
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"26"	"26"	28.99
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"27"	"27"	28.55
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"28"	"28"	28.84
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"29"	"29"	30.40
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"30"	"30"	31.19
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"1"	"1"	30.02
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"2"	"2"	27.97
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"3"	"3"	27.30
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"4"	"4"	25.35
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"5"	"5"	23.86
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"6"	"6"	21.05
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"7"	"7"	23.60
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"8"	"8"	27.75
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"9"	"9"	28.46
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"10"	"10"	29.31
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"11"	"11"	28.29
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"12"	"12"	28.39
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"13"	"13"	29.33
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"14"	"14"	27.69
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"15"	"15"	24.66
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"16"	"16"	24.48
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"17"	"17"	23.41
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"18"	"18"	24.76
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"19"	"19"	25.79
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"20"	"20"	26.65
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"21"	"21"	26.94
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"22"	"22"	26.60
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"23"	"23"	24.25
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"24"	"24"	24.11
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"25"	"25"	24.12
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"26"	"26"	22.42
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"27"	"27"	19.49
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"28"	"28"	18.64
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"29"	"29"	19.87
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"30"	"30"	22.61
	"California"	"06"	"1999"	"1999"	"Oct"	"10"	"31"	"31"	23.11
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"2"	"2"	23.90
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"8"	"8"	14.71
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"9"	"9"	16.81
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"10"	"10"	17.21
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"11"	"11"	19.69
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"12"	"12"	22.21
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"13"	"13"	23.39
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"14"	"14"	22.43
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"15"	"15"	18.57
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"16"	"16"	16.59
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"17"	"17"	13.11
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"18"	"18"	14.39
	"California"	"06"	"1999"	"1999"	"Nov"	"11"	"19"	"19"	13.00
