"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Jun, 1999"	"1999/06"	25.01
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Jul, 1999"	"1999/07"	30.52
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Aug, 1999"	"1999/08"	28.98
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Sep, 1999"	"1999/09"	24.81
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Oct, 1999"	"1999/10"	19.75
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Nov, 1999"	"1999/11"	15.71
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Dec, 1999"	"1999/12"	4.74
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Jan, 2000"	"2000/01"	2.32
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Feb, 2000"	"2000/02"	8.87
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Mar, 2000"	"2000/03"	13.02
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Apr, 2000"	"2000/04"	16.80
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"May, 2000"	"2000/05"	24.77
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Jun, 2000"	"2000/06"	27.36
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Jul, 2000"	"2000/07"	32.07
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Aug, 2000"	"2000/08"	35.57
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Sep, 2000"	"2000/09"	28.17
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Oct, 2000"	"2000/10"	19.05
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Nov, 2000"	"2000/11"	1.49
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Dec, 2000"	"2000/12"	-6.68
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Jan, 2001"	"2001/01"	-0.79
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Feb, 2001"	"2001/02"	-4.53
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Mar, 2001"	"2001/03"	4.45
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Apr, 2001"	"2001/04"	17.14
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"May, 2001"	"2001/05"	21.37
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Jun, 2001"	"2001/06"	27.17
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Jul, 2001"	"2001/07"	31.52
